id,price,moonRank,💎 score (%),storeURL,Background,Body,Ears,Eyes,Head,Mouth
185,4.2,3121,31.01,https://magiceden.io/item-details/8jHWyL2na91SWLJkYYw2t54dotRTq6eKajdw542BzrtL,Brown Gradient,Blue,Nothing,Nothing,Nothing,Green NT Mask
250,5,2017,36.34,https://magiceden.io/item-details/5cWCHahge1fyBv4emBx4CuVGLb8pj4QWuK7nwP6uHde5,Blue Gradient,Zombie,Nothing,Nothing,Naruto,Nothing
253,7.33,2220,10.59,https://magiceden.io/item-details/CjzLgxirtEoRYpqFp26EgbwPwB6Wp1Rq2NvqpAyHMMqb,Cyber Age,Blue,Nothing,Nothing,Ice Cream,Nothing
259,1.11,1061,86.79,https://magiceden.io/item-details/A4xD7hoCkMyD1ctvsKDAD8rvEQHeTgFjaqEgDr572Pka,Brown Gradient,Black,Nothing,Solana Visor,Monkey Bun,Nothing
262,20,2131,0,https://magiceden.io/item-details/DRjfuqy196hqoK7zeDu9osHy431hfaGvDiKZP8CSGWhK,Blue,Blue,Silver Earring,Nothing,Nothing,Smile
270,1.98,395,86.13,https://magiceden.io/item-details/57Sr8QuJdsRjE7ChNEuoRQEW2HMvMzdTfNXKkzJRuNqH,Psychedelic,Cyan,Nothing,Metallic Visor,Pan,Vape
284,1.89,1825,69.76,https://magiceden.io/item-details/iVfPa6noniT1VTGKwc7h3GdMKgRbsgjNvTgB7JgS1Cq,Cream,Robot,Nothing,Nothing,Pan,Smile
288,3,1145,66.87,https://magiceden.io/item-details/9iTy1Fohzj2RpaVmRXJo5UjX1D2bkbRTCUFEz9hfDHot,Violet,Red,Nothing,Nothing,Pilot,Red NT Mask
295,2.69,957,72.24,https://magiceden.io/item-details/GLGYZb4WRfr3wnT3cjgDfPcAXVPLLcdWX7AsKa7VU9ZG,Brown Gradient,Brown,Nothing,Cyborg Eye,Nothing,Gold NT Mask
306,1.69,1858,71.36,https://magiceden.io/item-details/EBUmjFWaPxLA3otNW7kJECTKzvxWPhFGSmvzpr2n57mY,Violet,Black,Nothing,Nothing,Monke,Jaws
341,2.5,744,76.71,https://magiceden.io/item-details/G1yRFz3fhjUJvPTVnm5dS1pLGUyjNFBM8mja8fD2NLNa,Blue,Albino,Neon Earring,Nothing,Naruto,Nothing
347,1.2,2486,68.68,https://magiceden.io/item-details/ELEKXPvpLLmbm9gHBTWK6xP2YyBGHBZmjCZw2NLwpv12,Blue,Robot,Nothing,Nothing,Fez,Nothing
348,1.35,2958,61.48,https://magiceden.io/item-details/FDAb436rdd4BARGW6kYcCbmrFsKSZdPchtF2eWx8hatA,Blue,Black,Nothing,Virtual,Nothing,Nothing
350,3.5,2923,40.4,https://magiceden.io/item-details/FfQgvA2Xjh4Bfj8VfkgdcddyVUT9tj2qJ1bkU5e7oXjs,Brown Gradient,Brown,Nothing,Nothing,Afro,Nothing
