id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothing,Eyes,Head,Holding,Mouth Nose Ears
4094,4,7697,31.79,https://solanart.io/nft/7Xrpc2PTLxXVWmzkjx7dGEGBPFdyA7eyfFzY4C7PC2P6,Red,Orange Viking Tattoos,TShirt Orange,None,Normal Horns,None,None
4097,2.25,6047,55.91,https://solanart.io/nft/BDZQThM5CUJjTudn8JcMn74b2WadoV8TtWX47M8FDDhj,Silver,Blonde Zombie,None,Protective Glasses Clear,Normal Horns,None,None
4098,10,3901,0,https://solanart.io/nft/Aq9YCHTP6SRaQEr5sZy93uGH7cQK4fqVbpbs5T5Q5cp2,Yellow,Bulladdin,Basketball Jersey,Aviator,Two Tone Horns,None,None
4099,1.5,6123,63.11,https://solanart.io/nft/HPUnXFsvFre1aUtvKrpVAKr37R2apukNnXshGKwS2SGE,Orange,Blonde Scars,None,Reading Glasses Black,Chicago Cap,None,None
4101,3.6,3547,52.46,https://solanart.io/nft/7mEAyFnmVMBgSYw1UBA9K6kEK274drwEoruxDG2y6MKs,Light Green,White,Sleeveless Gray,None,Normal Horns,Shield,None
4106,21,9502,0,https://solanart.io/nft/8oKQLg8okWzmRmD7GzjZPi4J3F741hbHmHHuFVxmRGAP,Bronze,Orange Viking Tattoos,None,None,Two Tone Horns,None,None
4109,5,8094,20.19,https://solanart.io/nft/B1JRZLkNPfBbVJEaKTQV3RWWEPRVgQ4VK3TxQc5JoDk1,Orange,Black Scars,None,None,Normal Horns,None,Cowboy Straw
4133,4.5,1641,51.11,https://solanart.io/nft/AUb82oCSyjayQWZuWZ8k8KmD8gdNtXgewJFw2QavFSzF,Green,Clown,TShirt Black,Mask,Combat Horns,None,None
4135,6.8,7176,5.88,https://solanart.io/nft/EwJ2ZDy9GGzD8p7ZcMAuBr3tH5RnsyQY7reh5vm51TR2,Gray,Red,None,None,Two Tone Horns,None,Three Gold Earrings
4136,0.27,9453,62.04,https://magiceden.io/item-details/72NoLFG613gma3ajB6YquRyZaokNsM665rSG7JGGUdfw,Yellow,Black Tattoos,None,None,Normal Damaged Horn,None,None
4140,1.1,3528,77.53,https://magiceden.io/item-details/6Ps1SwTjtnKceL9rZvswqPMndrzpKfHhgkEQCPLRLG1M,Light Blue,Orange Scars,None,None,Graduation Cap,None,Nose Ring Silver
4151,10.98,324,0,https://solanart.io/nft/7LuKLkzFVEDRXcYTqguxix1LNjE8RzNy2tkB7UtWU5Ko,Purple,Orange Tattoos,Oriental Tunic Red,None,Old Beret,Lumberjack Axe,Three Gold Earrings
4153,1.25,2956,78.33,https://magiceden.io/item-details/7CUx7XjYaeE7sQjWzg3uuzvEUXjhTGkLVYHDZKQhd66H,Purple,Blonde Scars,Police Uniform,VR White,Normal Horns,None,None
4157,0.89,6292,68.53,https://solanart.io/nft/exv2msV5Rz2GAgxJSawBmRFEQjF986Njjra3zSoFnyv,Green Blue,Blonde,None,None,Clown Hat,None,Gangster Toothpick
4166,1.4,839,85.33,https://solanart.io/nft/kSdPcQmbyZBjoAZUJQkS6zTUsfnuRd5Yv4n5wLBjwT7,Gold,Blonde Scars,None,None,Red Cap,Katana,Nose Ring Hex
